author,commit_count,ownership_percent,cumulative_ownership_percent,in_bus_factor
k8s-ci-robot,82,45.81,45.81,yes
pohly,23,12.85,58.66,yes
lalitc375,8,4.47,63.13,no
CLBRITTON2,7,3.91,67.04,no
bart0sh,5,2.79,69.83,no
richabanker,4,2.23,72.07,no
tallclair,4,2.23,74.30,no
dims,3,1.68,75.98,no
harche,3,1.68,77.65,no
Karthik-K-N,2,1.12,78.77,no
liggitt,2,1.12,79.89,no
aojea,2,1.12,81.01,no
Jefftree,2,1.12,82.12,no
soltysh,2,1.12,83.24,no
serathius,2,1.12,84.36,no
yongruilin,2,1.12,85.47,no
aramase,1,0.56,86.03,no
omerap12,1,0.56,86.59,no
saschagrunert,1,0.56,87.15,no
carlory,1,0.56,87.71,no
yliaog,1,0.56,88.27,no
ShaanveerS,1,0.56,88.83,no
danwinship,1,0.56,89.39,no
Abhigyan-Shekhar,1,0.56,89.94,no
JoelSpeed,1,0.56,90.50,no
LoginovIlia,1,0.56,91.06,no
p0lyn0mial,1,0.56,91.62,no
MohammedMutee,1,0.56,92.18,no
darshansreenivas,1,0.56,92.74,no
kannon92,1,0.56,93.30,no
mortent,1,0.56,93.85,no
anson627,1,0.56,94.41,no
utam0k,1,0.56,94.97,no
pacoxu,1,0.56,95.53,no
249043822,1,0.56,96.09,no
haircommander,1,0.56,96.65,no
Tanner-Gladson,1,0.56,97.21,no
ngopalak-redhat,1,0.56,97.77,no
MatteoFari,1,0.56,98.32,no
Goend,1,0.56,98.88,no
tchap,1,0.56,99.44,no
pravk03,1,0.56,100.00,no
