number,created_at,merged_at,lead_time_hours,lead_time_days,author,title,url
136086,2026-01-08T00:05:36Z,2026-01-13T09:59:37Z,129.9,5.41,richabanker,Graduate watch_list_duration_seconds to BETA,https://github.com/kubernetes/kubernetes/pull/136086
135770,2025-12-16T13:28:13Z,2026-01-13T03:03:36Z,661.59,27.57,dnaeon,code-generator/defaulter-gen: generate defaults only if required tags are present,https://github.com/kubernetes/kubernetes/pull/135770
135369,2025-11-20T13:58:06Z,2026-01-12T16:54:13Z,1274.94,53.12,saschagrunert,test: Fix image credential pulls test node scheduling,https://github.com/kubernetes/kubernetes/pull/135369
135485,2025-11-27T13:50:07Z,2026-01-12T16:54:22Z,1107.07,46.13,saschagrunert,Fix device plugin admission failure after container restart,https://github.com/kubernetes/kubernetes/pull/135485
136117,2026-01-08T22:23:29Z,2026-01-13T02:13:44Z,99.84,4.16,lalitc375,Add utilities to allow strategy.go files to enable DV native validations,https://github.com/kubernetes/kubernetes/pull/136117
135977,2025-12-30T11:25:49Z,2026-01-13T04:21:41Z,328.93,13.71,pohly,make test: fix support for PARALLEL,https://github.com/kubernetes/kubernetes/pull/135977
135850,2025-12-19T16:42:48Z,2026-01-13T02:21:41Z,585.65,24.4,neolit123,Automated cherry pick of #135400: kubeadm: do not sort extraArgs alpha-numerically,https://github.com/kubernetes/kubernetes/pull/135850
136112,2026-01-08T19:11:18Z,2026-01-13T02:13:36Z,103.04,4.29,danwinship,Drop TopologyAwareHints and ServiceTraficDistribution feature gates,https://github.com/kubernetes/kubernetes/pull/136112
136183,2026-01-12T21:00:59Z,2026-01-12T23:55:38Z,2.91,0.12,aramase,test: fix kind local registry config for kms ci jobs,https://github.com/kubernetes/kubernetes/pull/136183
136161,2026-01-11T21:28:05Z,2026-01-12T21:35:37Z,24.13,1.01,dims,Update golang.org/x dependencies to latest versions,https://github.com/kubernetes/kubernetes/pull/136161
136122,2026-01-09T03:24:30Z,2026-01-12T21:25:01Z,90.01,3.75,danwinship,Automated cherry pick of #135631: Switch ipvs and winkernel back to more regular forced syncs,https://github.com/kubernetes/kubernetes/pull/136122
135759,2025-12-15T17:37:21Z,2026-01-12T20:45:09Z,675.13,28.13,Abhigyan-Shekhar,FIX: Deep copy MapType in CEL composition to prevent data race,https://github.com/kubernetes/kubernetes/pull/135759
135597,2025-12-05T00:21:01Z,2026-01-12T20:45:01Z,932.4,38.85,alvaroaleman,Service account controller: Wire through context,https://github.com/kubernetes/kubernetes/pull/135597
135412,2025-11-23T18:56:41Z,2026-01-12T19:24:09Z,1200.46,50.02,omerap12,HPA: Enable DV support for MaxReplicas,https://github.com/kubernetes/kubernetes/pull/135412
135887,2025-12-22T10:00:43Z,2026-01-12T18:30:17Z,512.49,21.35,ErikJiang,fix log validation messages,https://github.com/kubernetes/kubernetes/pull/135887
135668,2025-12-08T19:50:35Z,2026-01-12T18:30:09Z,838.66,34.94,yliaog,added unit test case to ensure implicit DRA extended resource is handled properly during pod admission at kubelet,https://github.com/kubernetes/kubernetes/pull/135668
136079,2026-01-07T17:59:19Z,2026-01-10T01:57:46Z,55.97,2.33,lalitc375," Re-apply ""Migrate ResourceSlice map key validation to declarative validation""",https://github.com/kubernetes/kubernetes/pull/136079
135949,2025-12-26T18:48:23Z,2026-01-12T16:54:29Z,406.1,16.92,lalitc375,Promote validation-gen tags to Stable,https://github.com/kubernetes/kubernetes/pull/135949
135992,2026-01-01T11:27:04Z,2026-01-12T14:28:41Z,267.03,11.13,bart0sh,Migrate remaining kubelet subdirs to contextual logging,https://github.com/kubernetes/kubernetes/pull/135992
136123,2026-01-09T03:24:57Z,2026-01-10T01:43:39Z,22.31,0.93,danwinship,Automated cherry pick of #135631: Switch ipvs and winkernel back to more regular forced syncs,https://github.com/kubernetes/kubernetes/pull/136123
136167,2026-01-12T08:43:09Z,2026-01-12T12:34:40Z,3.86,0.16,Karthik-K-N,"DRA: remove deprecated test method usage, fix linter hints",https://github.com/kubernetes/kubernetes/pull/136167
135911,2025-12-23T13:16:59Z,2026-01-12T10:46:06Z,477.49,19.9,ShaanveerS,Add UDP and explicit TCP support to agnhost porter ,https://github.com/kubernetes/kubernetes/pull/135911
136127,2026-01-09T09:23:42Z,2026-01-12T09:54:10Z,72.51,3.02,carlory,"kubeadm: fix a bug where kubeadm upgrade is failed if the content of the `kubeadm-flags.env` file is `KUBELET_KUBEADM_ARGS=""""`",https://github.com/kubernetes/kubernetes/pull/136127
135890,2025-12-22T16:35:42Z,2026-01-10T01:57:39Z,441.37,18.39,CLBRITTON2,Feat: wire discovery group for declarative validation and migrate Endpoint.Addresses + EndpointSlice.AddressType,https://github.com/kubernetes/kubernetes/pull/135890
136151,2026-01-10T22:07:18Z,2026-01-11T11:59:57Z,13.88,0.58,pohly,testing: partial revert of E2E + DRA upgrade/downgrade,https://github.com/kubernetes/kubernetes/pull/136151
135959,2025-12-27T21:12:22Z,2026-01-07T13:31:46Z,256.32,10.68,pohly,client-go testing: support List+Watch with ResourceVersion,https://github.com/kubernetes/kubernetes/pull/135959
136130,2026-01-09T09:43:48Z,2026-01-10T22:23:57Z,36.67,1.53,LoginovIlia,kubeadm: switch tests to NewClientset,https://github.com/kubernetes/kubernetes/pull/136130
136099,2026-01-08T10:16:45Z,2026-01-10T20:46:00Z,58.49,2.44,jsafrane,Automated cherry pick of #135629: selinux: Fix the controller to ignore finished pods,https://github.com/kubernetes/kubernetes/pull/136099
136119,2026-01-09T00:05:31Z,2026-01-09T16:47:43Z,16.7,0.7,lalitc375,Bring the fuzz testing  changes back which was removed due to  an accident ,https://github.com/kubernetes/kubernetes/pull/136119
136097,2026-01-08T10:03:24Z,2026-01-10T04:09:40Z,42.1,1.75,atiratree,Automated cherry pick of #135428: schedule pod availability checks at the correct time in StatefulSets,https://github.com/kubernetes/kubernetes/pull/136097
136096,2026-01-08T07:56:52Z,2026-01-10T00:17:48Z,40.35,1.68,pacoxu,Update error message expectation in criproxy_test,https://github.com/kubernetes/kubernetes/pull/136096
134681,2025-10-17T14:24:26Z,2026-01-10T00:17:40Z,2025.89,84.41,JoelSpeed,Enable nonullable rule for Kube API Linter,https://github.com/kubernetes/kubernetes/pull/134681
