number,created_at,closed_at,author,title,url
135935,2025-12-26T05:26:37Z,2026-01-13T05:09:34Z,darthsuburbus,[DO NOT REVIEW] Network Tag CIDR Declarative Validation ,https://github.com/kubernetes/kubernetes/pull/135935
136187,2026-01-13T03:34:45Z,2026-01-13T03:47:06Z,blaze27444,Rename main.go to main.gos,https://github.com/kubernetes/kubernetes/pull/136187
135913,2025-12-23T14:38:10Z,2026-01-12T17:52:10Z,singh1203,Migrate FlowControl (`flowcontrol.apiserver.k8s.io`) to Declarative Validation,https://github.com/kubernetes/kubernetes/pull/135913
136177,2026-01-12T16:13:17Z,2026-01-12T17:54:20Z,enj,Test KMS CI,https://github.com/kubernetes/kubernetes/pull/136177
136146,2026-01-10T05:12:09Z,2026-01-12T15:50:37Z,MohammedMutee,kubeadm: fix wait-control-plane using load balancer instead of local endpoint,https://github.com/kubernetes/kubernetes/pull/136146
136150,2026-01-10T14:47:30Z,2026-01-12T07:09:16Z,pohly,ktesting: don't install signals automatically,https://github.com/kubernetes/kubernetes/pull/136150
136137,2026-01-09T14:01:26Z,2026-01-12T04:21:56Z,vikasbolla,Ignore conversion errors in versioned validation fuzz test,https://github.com/kubernetes/kubernetes/pull/136137
133465,2025-08-11T12:58:11Z,2026-01-12T01:42:25Z,xigang,kubelet: ensure static pods terminate last during node shutdown,https://github.com/kubernetes/kubernetes/pull/133465
136129,2026-01-09T09:37:39Z,2026-01-12T01:38:39Z,pacoxu,"[Testing]Revert ""DRA e2e: upgrade/downgrade refactor""",https://github.com/kubernetes/kubernetes/pull/136129
133414,2025-08-07T07:04:02Z,2026-01-11T21:38:24Z,fusida,fix set caching objects log typo,https://github.com/kubernetes/kubernetes/pull/133414
135849,2025-12-19T15:35:11Z,2026-01-11T16:35:07Z,kfess,Add linkCode and linkKEPs fields to match the markdown output,https://github.com/kubernetes/kubernetes/pull/135849
136153,2026-01-11T07:00:20Z,2026-01-11T09:52:09Z,MohammedMutee,"Revert ""Use ktesting in e2e framework"" and remove incompatible tests to fix CI",https://github.com/kubernetes/kubernetes/pull/136153
136125,2026-01-09T06:47:06Z,2026-01-10T13:16:54Z,MohammedMutee,[GCE] Pin Ubuntu image to 22.04 to fix ci-cos-containerd-e2e-ubuntu-gce,https://github.com/kubernetes/kubernetes/pull/136125
135286,2025-11-13T09:53:35Z,2026-01-10T05:40:41Z,ShaanveerS,Enable Declarative Validation for Role,https://github.com/kubernetes/kubernetes/pull/135286
135780,2025-12-16T21:41:34Z,2026-01-10T00:13:00Z,techknowlogick,client-go: migrate websocket code to use coder/websocket,https://github.com/kubernetes/kubernetes/pull/135780
136139,2026-01-09T14:41:46Z,2026-01-09T20:05:51Z,aroradaman,nftables: remove redundant protocol check in endpoint chains,https://github.com/kubernetes/kubernetes/pull/136139
136109,2026-01-08T16:07:17Z,2026-01-09T12:25:42Z,aojea,Default EndpointSlice.Endpoints to empty list instead of nil,https://github.com/kubernetes/kubernetes/pull/136109
136017,2026-01-04T11:53:34Z,2026-01-09T12:19:17Z,nohy6630,kube-aggregator: Generate NewClientset for fake clientset,https://github.com/kubernetes/kubernetes/pull/136017
